virus,yearweek,new_locations,date
COVID,2020-04,1,2020-01-29
COVID,2020-07,7,2020-02-19
COVID,2020-08,8,2020-02-26
COVID,2020-09,33,2020-03-04
COVID,2020-10,34,2020-03-11
COVID,2020-11,45,2020-03-18
COVID,2020-12,41,2020-03-25
COVID,2020-13,23,2020-04-01
COVID,2020-14,10,2020-04-08
COVID,2020-15,5,2020-04-15
COVID,2020-18,4,2020-05-06
COVID,2020-21,1,2020-05-27
COVID,2020-28,1,2020-07-15
COVID,2020-41,1,2020-10-14
COVID,2020-47,2,2020-11-25
COVID,2020-48,1,2020-12-02
COVID,2021-10,1,2021-03-10
COVID,2021-13,1,2021-03-31
COVID,2021-37,1,2021-09-15
COVID,2022-03,1,2022-01-19
COVID,2022-05,1,2022-02-02
COVID,2022-07,1,2022-02-16
COVID,2022-12,1,2022-03-23
COVID,2022-14,1,2022-04-06
COVID,2022-17,1,2022-04-27
Monkeypox,2022-18,3,2022-05-04
Monkeypox,2022-19,2,2022-05-11
Monkeypox,2022-20,16,2022-05-18
Monkeypox,2022-21,5,2022-05-25
Monkeypox,2022-22,14,2022-06-01
Monkeypox,2022-23,1,2022-06-08
Monkeypox,2022-24,9,2022-06-15
Monkeypox,2022-25,8,2022-06-22
Monkeypox,2022-26,6,2022-06-29
Monkeypox,2022-27,5,2022-07-06
Monkeypox,2022-28,6,2022-07-13
Monkeypox,2022-29,7,2022-07-20
Monkeypox,2022-30,6,2022-07-27
Monkeypox,2022-31,7,2022-08-03
Monkeypox,2022-32,5,2022-08-10
Monkeypox,2022-33,2,2022-08-17
Monkeypox,2022-34,5,2022-08-24
Monkeypox,2022-35,1,2022-08-31
Monkeypox,2022-36,1,2022-09-07
Monkeypox,2022-37,3,2022-09-14
Monkeypox,2022-39,1,2022-09-28
Monkeypox,2022-40,2,2022-10-05
Monkeypox,2022-41,1,2022-10-12
Monkeypox,2022-44,1,2022-11-02
Monkeypox,2023-16,1,2023-04-19
